Agent,Budget,Condition,Seed,Region,Family,IsActive,IsNoisy,ValError,NumSamples,Status
PPO_SetPolicy_Phase4B,50,Mixed,7270,0,linear,True,False,0.1260045739819912,2,learning
PPO_SetPolicy_Phase4B,50,Mixed,7270,1,cubic,True,False,0.05334811076508883,1,learning
PPO_SetPolicy_Phase4B,50,Mixed,7270,2,piecewise_linear,True,False,0.02919503892884174,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,7270,3,sine,True,False,0.19942652676148692,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,7270,4,piecewise_linear,True,False,0.14247358097970994,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,7270,5,sine,True,False,1.1277271653097096,10,learning
PPO_SetPolicy_Phase4B,50,Mixed,7270,6,cubic,True,False,0.1313984020807249,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,7270,7,quadratic,True,False,0.19480499772870946,7,learning
PPO_SetPolicy_Phase4B,50,Mixed,7270,8,quadratic,True,False,0.016369761964472093,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,0,piecewise_linear,True,False,0.5704909085339274,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,1,piecewise_linear,True,False,0.28681688529419647,4,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,2,sine,True,False,0.2665430130991338,9,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,3,noisy_unlearnable,True,True,0.42427692597778865,8,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,4,piecewise_linear,True,False,0.007944436955176735,4,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,5,cubic,True,False,0.2588487078526439,4,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,6,piecewise_linear,True,False,0.02776246196876856,2,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,7,piecewise_linear,True,False,0.042542277490709886,3,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,8,sine,True,False,0.4594813682556932,5,learning
PPO_SetPolicy_Phase4B,50,Mixed,860,9,noisy_unlearnable,True,True,0.8907039525329887,5,learning
PPO_SetPolicy_Phase4B,50,Mixed,5390,0,noisy_unlearnable,True,True,0.6727548242040221,12,learning
PPO_SetPolicy_Phase4B,50,Mixed,5390,1,noisy_unlearnable,True,True,1.8855682605494335,13,learning
PPO_SetPolicy_Phase4B,50,Mixed,5390,2,cubic,True,False,0.3887415882358261,13,learning
PPO_SetPolicy_Phase4B,50,Mixed,5390,3,quadratic,True,False,0.04197969704070484,12,learning
PPO_SetPolicy_Phase4B,50,Mixed,5191,0,piecewise_linear,True,False,0.15403534213134024,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5191,1,piecewise_linear,True,False,0.02375450733974326,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5191,2,piecewise_linear,True,False,0.07024953503783862,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5191,3,noisy_unlearnable,True,True,0.7652636604068814,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5191,4,piecewise_linear,True,False,0.2557689125459973,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5191,5,linear,True,False,0.12454245553345557,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5191,6,cubic,True,False,0.19458807037445514,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5191,7,noisy_unlearnable,True,True,1.750627108809334,8,learning
PPO_SetPolicy_Phase4B,50,Mixed,5734,0,sine,True,False,1.628294347163725,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5734,1,sine,True,False,0.47154777678344234,5,learning
PPO_SetPolicy_Phase4B,50,Mixed,5734,2,noisy_unlearnable,True,True,2.853351480196533,8,learning
PPO_SetPolicy_Phase4B,50,Mixed,5734,3,piecewise_linear,True,False,0.05782200351773537,4,learning
PPO_SetPolicy_Phase4B,50,Mixed,5734,4,noisy_unlearnable,True,True,1.2008259969644977,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5734,5,noisy_unlearnable,True,True,1.0935440576801208,6,learning
PPO_SetPolicy_Phase4B,50,Mixed,5734,6,quadratic,True,False,0.06762922755227568,5,learning
PPO_SetPolicy_Phase4B,50,Mixed,5734,7,cubic,True,False,0.17551397279433645,5,learning
PPO_SetPolicy_Phase4B,50,Mixed,5734,8,sine,True,False,0.280563609326537,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,7270,0,linear,True,False,0.012153150903537056,6,learning
PPO_SetPolicy_NoValObs,50,Mixed,7270,1,cubic,True,False,0.050207474654046805,6,learning
PPO_SetPolicy_NoValObs,50,Mixed,7270,2,piecewise_linear,True,False,0.010491135903223871,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,7270,3,sine,True,False,0.2707250819213145,6,learning
PPO_SetPolicy_NoValObs,50,Mixed,7270,4,piecewise_linear,True,False,0.04944892324724542,6,learning
PPO_SetPolicy_NoValObs,50,Mixed,7270,5,sine,True,False,1.2000715093726977,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,7270,6,cubic,True,False,0.18262847617823252,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,7270,7,quadratic,True,False,0.02141771706065275,6,learning
PPO_SetPolicy_NoValObs,50,Mixed,7270,8,quadratic,True,False,0.32924270517634463,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,0,piecewise_linear,True,False,0.13561650735860875,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,1,piecewise_linear,True,False,0.041093101457326704,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,2,sine,True,False,2.0737963502959653,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,3,noisy_unlearnable,True,True,0.43494509954384236,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,4,piecewise_linear,True,False,0.02587826489709047,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,5,cubic,True,False,0.026879422873973997,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,6,piecewise_linear,True,False,0.007487355494173274,4,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,7,piecewise_linear,True,False,0.08077622772274387,4,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,8,sine,True,False,0.47703556099363015,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,860,9,noisy_unlearnable,True,True,1.518356935395408,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,5390,0,noisy_unlearnable,True,True,1.0187095789592164,12,learning
PPO_SetPolicy_NoValObs,50,Mixed,5390,1,noisy_unlearnable,True,True,1.7512035442322387,12,learning
PPO_SetPolicy_NoValObs,50,Mixed,5390,2,cubic,True,False,0.018846955533036315,12,learning
PPO_SetPolicy_NoValObs,50,Mixed,5390,3,quadratic,True,False,0.21774072959946802,14,learning
PPO_SetPolicy_NoValObs,50,Mixed,5191,0,piecewise_linear,True,False,0.2669764844749994,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,5191,1,piecewise_linear,True,False,0.02853047299312417,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,5191,2,piecewise_linear,True,False,0.017507590430757523,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,5191,3,noisy_unlearnable,True,True,0.6520570752741517,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,5191,4,piecewise_linear,True,False,0.28050437871731676,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,5191,5,linear,True,False,0.42196454105427456,1,learning
PPO_SetPolicy_NoValObs,50,Mixed,5191,6,cubic,True,False,0.12028115304266587,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,5191,7,noisy_unlearnable,True,True,1.7111153890858963,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,5734,0,sine,True,False,1.800513116297241,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,5734,1,sine,True,False,0.5423628186100007,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,5734,2,noisy_unlearnable,True,True,3.3084684153167023,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,5734,3,piecewise_linear,True,False,0.7565266059383692,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,5734,4,noisy_unlearnable,True,True,1.621101516746964,7,learning
PPO_SetPolicy_NoValObs,50,Mixed,5734,5,noisy_unlearnable,True,True,1.3049172386926937,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,5734,6,quadratic,True,False,1.5941917523266296,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,5734,7,cubic,True,False,0.7435598504589481,5,learning
PPO_SetPolicy_NoValObs,50,Mixed,5734,8,sine,True,False,0.5284376231293905,6,learning
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,7270,0,linear,True,False,0.2591060227063276,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,7270,1,cubic,True,False,0.8811398809835528,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,7270,2,piecewise_linear,True,False,0.10591852217075572,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,7270,3,sine,True,False,1.0642156716342293,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,7270,4,piecewise_linear,True,False,1.3070985364686487,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,7270,5,sine,True,False,1.720434898275342,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,7270,6,cubic,True,False,1.2032360111928222,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,7270,7,quadratic,True,False,2.717658240952172,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,7270,8,quadratic,True,False,0.013910215465180602,50,learning
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,0,piecewise_linear,True,False,7.174644607913373,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,1,piecewise_linear,True,False,1.3503036970104674,0,unexplored
PPO_SetPolicy_NoValObs_NoStatus,50,Mixed,860,2,sine,True,False,0.26059394985203954,50,learning
